Step,Loss,Return,Return Std,Loss Std
10, -16.512771606445312, 11.0, 0.0, 0.0
19, -16.512771606445312, 9.0, 1.0, 0.0
38, -16.512771606445312, 19.0, 4.320493698120117, 0.0
53, -16.512771606445312, 15.0, 3.8405728340148926, 0.0
65, -16.512771606445312, 12.0, 3.487119197845459, 0.0
145, -8.264302253723145, 80.0, 25.09758758544922, 8.248469352722168
159, -8.264302253723145, 14.0, 23.515518188476562, 8.248469352722168
172, -8.264302253723145, 13.0, 22.23700523376465, 8.248469352722168
248, -5.7009501457214355, 76.0, 27.047285079956055, 7.648510456085205
387, -4.2454514503479, 139.0, 42.11840057373047, 7.08732795715332
483, -3.377408981323242, 96.0, 43.394596099853516, 6.572530746459961
983, -1.8013837337493896, 500.0, 132.70330810546875, 4.916467666625977
1110, -1.4857888221740723, 127.0, 128.05984497070312, 4.543245315551758
1123, -1.4857888221740723, 13.0, 124.8046646118164, 4.543245315551758
1136, -1.4857888221740723, 13.0, 121.7353515625, 4.543245315551758
1147, -1.4857888221740723, 11.0, 118.90884399414062, 4.543245315551758
1174, -1.4857888221740723, 27.0, 115.83806610107422, 4.543245315551758
1198, -1.4857888221740723, 24.0, 113.04774475097656, 4.543245315551758
1279, -1.3578859567642212, 81.0, 110.07949829101562, 4.38743782043457
1365, -1.2583541870117188, 86.0, 107.3690414428711, 4.243043899536133
1405, -1.1661288738250732, 40.0, 104.95462036132812, 4.113668918609619
1528, -1.0871180295944214, 123.0, 103.20401000976562, 3.9947803020477295
1598, -1.0871180295944214, 70.0, 100.93557739257812, 3.9947803020477295
1860, -0.9625661969184875, 262.0, 106.03221893310547, 3.6837878227233887
2097, -0.8614538311958313, 237.0, 108.48739624023438, 3.5178139209747314
2300, -0.8354774713516235, 203.0, 108.8175048828125, 3.367896318435669
2444, -0.7596824169158936, 144.0, 107.29652404785156, 3.2405855655670166
2653, -0.6958265900611877, 209.0, 107.63143920898438, 3.1264169216156006
3153, -0.6035879850387573, 500.0, 129.04200744628906, 2.884974479675293
3255, -0.5809100270271301, 102.0, 126.87887573242188, 2.8438215255737305
3378, -0.5599398612976074, 123.0, 124.84183502197266, 2.804276943206787
3398, -0.5599398612976074, 20.0, 123.84761810302734, 2.804276943206787
3592, -0.5216426849365234, 194.0, 122.88150024414062, 2.7298409938812256
3771, -0.489022821187973, 179.0, 121.6392822265625, 2.6606340408325195
3964, -0.4571971893310547, 193.0, 120.66590881347656, 2.596984386444092
4071, -0.44273677468299866, 107.0, 118.98267364501953, 2.5667481422424316
4325, -0.48855429887771606, 254.0, 119.56687927246094, 2.526005744934082
4492, -0.47531211376190186, 167.0, 118.25518035888672, 2.4993252754211426
4738, -0.439083069562912, 246.0, 118.46321105957031, 2.4240267276763916
5004, -0.4068232476711273, 266.0, 119.12833404541016, 2.3551902770996094
5226, -0.387567937374115, 222.0, 118.61170959472656, 2.312371015548706
5430, -0.4398665726184845, 204.0, 117.77025604248047, 2.3152427673339844
5593, -0.43019887804985046, 163.0, 116.50348663330078, 2.295597553253174
5620, -0.4208517372608185, 27.0, 116.1922607421875, 2.276446580886841
6120, -0.3783566355705261, 500.0, 127.32452392578125, 2.187436103820801
6326, -0.36348628997802734, 206.0, 126.34575653076172, 2.1545774936676025
6826, -0.33018335700035095, 500.0, 135.49664306640625, 2.078463077545166
7326, -0.355939656496048, 500.0, 143.3317108154297, 2.0524513721466064
7826, -0.3274494409561157, 500.0, 150.12265014648438, 1.9894603490829468
8326, -0.30230507254600525, 500.0, 156.0620880126953, 1.9319288730621338
8826, -0.28017497062683105, 500.0, 161.2928009033203, 1.8790675401687622
9232, -0.26416170597076416, 406.0, 162.90586853027344, 1.8397645950317383
9331, -0.2598820626735687, 99.0, 161.71531677246094, 1.8304178714752197
9352, -0.2598820626735687, 21.0, 161.5693359375, 1.8304178714752197
9377, -0.2598820626735687, 25.0, 161.31369018554688, 1.8304178714752197
9399, -0.2598820626735687, 22.0, 161.07212829589844, 1.8304178714752197
9415, -0.25557345151901245, 16.0, 160.8929443359375, 1.8212376832962036
9446, -0.25557345151901245, 31.0, 160.4535675048828, 1.8212376832962036
9473, -0.25557345151901245, 27.0, 160.05191040039062, 1.8212376832962036
9490, -0.25557345151901245, 17.0, 159.77333068847656, 1.8212376832962036
9518, -0.25125327706336975, 28.0, 159.31825256347656, 1.8122165203094482
9561, -0.25125327706336975, 43.0, 158.66859436035156, 1.8122165203094482
9694, -0.2474878579378128, 133.0, 157.42665100097656, 1.8032286167144775
9763, -0.2438555508852005, 69.0, 156.5463104248047, 1.7943613529205322
9799, -0.2438555508852005, 36.0, 155.99850463867188, 1.7943613529205322
9828, -0.24016790091991425, 29.0, 155.52513122558594, 1.7856491804122925
9924, -0.23677128553390503, 96.0, 154.4934844970703, 1.77701997756958
9950, -0.23677128553390503, 26.0, 154.05638122558594, 1.77701997756958
9981, -0.23677128553390503, 31.0, 153.55589294433594, 1.77701997756958
9994, -0.23677128553390503, 13.0, 153.253662109375, 1.77701997756958
10017, -0.23331855237483978, 23.0, 152.82386779785156, 1.768537998199463
10036, -0.23331855237483978, 19.0, 152.4300994873047, 1.768537998199463
10049, -0.23331855237483978, 13.0, 152.0937957763672, 1.768537998199463
10059, -0.23331855237483978, 10.0, 151.7801513671875, 1.768537998199463
10095, -0.23331855237483978, 36.0, 151.2000732421875, 1.768537998199463
10111, -0.22992242872714996, 16.0, 150.8089599609375, 1.7601780891418457
10164, -0.22992242872714996, 53.0, 150.10035705566406, 1.7601780891418457
10177, -0.22992242872714996, 13.0, 149.73486328125, 1.7601780891418457
10244, -0.2266831398010254, 67.0, 148.95335388183594, 1.7519183158874512
10271, -0.2266831398010254, 27.0, 148.45846557617188, 1.7519183158874512
10297, -0.2266831398010254, 26.0, 147.97186279296875, 1.7519183158874512
10319, -0.22352607548236847, 22.0, 147.5188446044922, 1.7437697649002075
10332, -0.22352607548236847, 13.0, 147.14352416992188, 1.7437697649002075
10832, -0.20892323553562164, 500.0, 151.82919311523438, 1.7046071290969849
11070, -0.20350851118564606, 238.0, 151.39064025878906, 1.6896533966064453
11140, -0.20088259875774384, 70.0, 150.6464080810547, 1.6823208332061768
11170, -0.20088259875774384, 30.0, 150.15353393554688, 1.6823208332061768
11184, -0.20088259875774384, 14.0, 149.78955078125, 1.6823208332061768
11204, -0.19827033579349518, 20.0, 149.37286376953125, 1.67508864402771
11215, -0.19827033579349518, 11.0, 149.0281524658203, 1.67508864402771
11236, -0.19827033579349518, 21.0, 148.60023498535156, 1.67508864402771
11249, -0.19827033579349518, 13.0, 148.2337646484375, 1.67508864402771
11263, -0.19827033579349518, 14.0, 147.8570098876953, 1.67508864402771
11287, -0.19827033579349518, 24.0, 147.4055633544922, 1.67508864402771
11301, -0.195618137717247, 14.0, 147.02684020996094, 1.6679641008377075
11311, -0.195618137717247, 10.0, 146.67691040039062, 1.6679641008377075
11324, -0.195618137717247, 13.0, 146.30262756347656, 1.6679641008377075
11341, -0.195618137717247, 17.0, 145.89907836914062, 1.6679641008377075
11358, -0.195618137717247, 17.0, 145.49571228027344, 1.6679641008377075
11370, -0.195618137717247, 12.0, 145.12686157226562, 1.6679641008377075
11380, -0.195618137717247, 10.0, 144.771240234375, 1.6679641008377075
11400, -0.195618137717247, 20.0, 144.34896850585938, 1.6679641008377075
11420, -0.19300813972949982, 20.0, 143.92813110351562, 1.6609296798706055
11441, -0.19300813972949982, 21.0, 143.50282287597656, 1.6609296798706055
11456, -0.19300813972949982, 15.0, 143.11569213867188, 1.6609296798706055
11470, -0.19300813972949982, 14.0, 142.7354736328125, 1.6609296798706055
11516, -0.1904314160346985, 46.0, 142.1929931640625, 1.6539859771728516
11540, -0.1904314160346985, 24.0, 141.7596893310547, 1.6539859771728516
11563, -0.1904314160346985, 23.0, 141.33424377441406, 1.6539859771728516
11585, -0.1904314160346985, 22.0, 140.9165496826172, 1.6539859771728516
11610, -0.18797768652439117, 25.0, 140.48553466796875, 1.6471147537231445
11629, -0.18797768652439117, 19.0, 140.08859252929688, 1.6471147537231445
11654, -0.18797768652439117, 25.0, 139.66265869140625, 1.6471147537231445
11670, -0.18797768652439117, 16.0, 139.28598022460938, 1.6471147537231445
11751, -0.18557465076446533, 81.0, 138.69326782226562, 1.6403262615203857
11775, -0.18557465076446533, 24.0, 138.28323364257812, 1.6403262615203857
