Step,Loss,Return,Return Std,Loss Std
9, -13.401836395263672, 10.0, 0.0, 0.0
25, -13.401836395263672, 16.0, 3.0, 0.0
60, -13.401836395263672, 35.0, 10.656245231628418, 0.0
74, -13.401836395263672, 14.0, 9.627434730529785, 0.0
92, -13.401836395263672, 18.0, 8.616263389587402, 0.0
117, -6.518198013305664, 25.0, 8.219219207763672, 6.883638381958008
129, -6.518198013305664, 12.0, 8.068583488464355, 6.883638381958008
141, -6.518198013305664, 12.0, 7.8541388511657715, 6.883638381958008
151, -6.518198013305664, 10.0, 7.795217990875244, 6.883638381958008
162, -6.518198013305664, 11.0, 7.603288650512695, 6.883638381958008
199, -6.518198013305664, 37.0, 9.379069328308105, 6.883638381958008
230, -4.3660383224487305, 31.0, 9.653367042541504, 6.391653060913086
243, -4.3660383224487305, 13.0, 9.422998428344727, 6.391653060913086
305, -3.244368314743042, 62.0, 14.366912841796875, 5.866374969482422
317, -3.244368314743042, 12.0, 14.09586238861084, 5.866374969482422
330, -3.244368314743042, 13.0, 13.791839599609375, 5.866374969482422
344, -3.244368314743042, 14.0, 13.472258567810059, 5.866374969482422
376, -3.244368314743042, 32.0, 13.364432334899902, 5.866374969482422
404, -2.5747230052948, 28.0, 13.103043556213379, 5.415273189544678
415, -2.5747230052948, 11.0, 12.967652320861816, 5.415273189544678
433, -2.5747230052948, 18.0, 12.669172286987305, 5.415273189544678
457, -2.5747230052948, 24.0, 12.397346496582031, 5.415273189544678
481, -2.5747230052948, 24.0, 12.142194747924805, 5.415273189544678
506, -2.12873911857605, 25.0, 11.913970947265625, 5.043030738830566
523, -2.12873911857605, 17.0, 11.701213836669922, 5.043030738830566
556, -2.12873911857605, 33.0, 11.705268859863281, 5.043030738830566
572, -2.12873911857605, 16.0, 11.532027244567871, 5.043030738830566
585, -2.12873911857605, 13.0, 11.42656135559082, 5.043030738830566
611, -1.8087329864501953, 26.0, 11.265892028808594, 4.734281539916992
678, -1.8087329864501953, 67.0, 13.804549217224121, 4.734281539916992
697, -1.8087329864501953, 19.0, 13.595234870910645, 4.734281539916992
745, -1.5718492269515991, 48.0, 14.096625328063965, 4.472643852233887
781, -1.5718492269515991, 36.0, 14.050741195678711, 4.472643852233887
804, -1.3867026567459106, 23.0, 13.843071937561035, 4.249240875244141
822, -1.3867026567459106, 18.0, 13.676614761352539, 4.249240875244141
836, -1.3867026567459106, 14.0, 13.575662612915039, 4.249240875244141
864, -1.3867026567459106, 28.0, 13.413084983825684, 4.249240875244141
876, -1.3867026567459106, 12.0, 13.360156059265137, 4.249240875244141
905, -1.239119291305542, 29.0, 13.220927238464355, 4.055424690246582
926, -1.239119291305542, 21.0, 13.059264183044434, 4.055424690246582
940, -1.239119291305542, 14.0, 12.976435661315918, 4.055424690246582
953, -1.239119291305542, 13.0, 12.910470962524414, 4.055424690246582
981, -1.239119291305542, 28.0, 12.784310340881348, 4.055424690246582
998, -1.239119291305542, 17.0, 12.668105125427246, 4.055424690246582
1018, -1.1176456212997437, 20.0, 12.5329008102417, 3.8857297897338867
1034, -1.1176456212997437, 16.0, 12.433737754821777, 3.8857297897338867
1045, -1.1176456212997437, 11.0, 12.412191390991211, 3.8857297897338867
1056, -1.1176456212997437, 11.0, 12.386971473693848, 3.8857297897338867
1113, -1.0168875455856323, 57.0, 13.219922065734863, 3.735281467437744
1129, -1.0168875455856323, 16.0, 13.120975494384766, 3.735281467437744
1143, -1.0168875455856323, 14.0, 13.046304702758789, 3.735281467437744
1167, -1.0168875455856323, 24.0, 12.922046661376953, 3.735281467437744
1195, -1.0168875455856323, 28.0, 12.821722984313965, 3.735281467437744
1214, -0.9321761727333069, 19.0, 12.711543083190918, 3.600719928741455
1224, -0.9321761727333069, 10.0, 12.705696105957031, 3.600719928741455
1236, -0.9321761727333069, 12.0, 12.665019989013672, 3.600719928741455
1249, -0.9321761727333069, 13.0, 12.610021591186523, 3.600719928741455
1263, -0.9321761727333069, 14.0, 12.543384552001953, 3.600719928741455
1279, -0.9321761727333069, 16.0, 12.459091186523438, 3.600719928741455
1303, -0.9587451219558716, 24.0, 12.358353614807129, 3.4710628986358643
1331, -0.9587451219558716, 28.0, 12.282442092895508, 3.4710628986358643
1347, -0.9587451219558716, 16.0, 12.20514965057373, 3.4710628986358643
1371, -0.9587451219558716, 24.0, 12.111185073852539, 3.4710628986358643
1383, -0.9587451219558716, 12.0, 12.077225685119629, 3.4710628986358643
1409, -0.8884305953979492, 26.0, 11.996055603027344, 3.3636698722839355
1424, -0.8884305953979492, 15.0, 11.932865142822266, 3.3636698722839355
1440, -0.8884305953979492, 16.0, 11.86286449432373, 3.3636698722839355
1455, -0.8884305953979492, 15.0, 11.801339149475098, 3.3636698722839355
1478, -0.8884305953979492, 23.0, 11.717047691345215, 3.3636698722839355
1487, -0.8884305953979492, 9.0, 11.726264953613281, 3.3636698722839355
1516, -0.8271507620811462, 29.0, 11.679088592529297, 3.265495538711548
1537, -0.8271507620811462, 21.0, 11.597779273986816, 3.265495538711548
1570, -0.8271507620811462, 33.0, 11.597248077392578, 3.265495538711548
1586, -0.8271507620811462, 16.0, 11.536243438720703, 3.265495538711548
1598, -0.8271507620811462, 12.0, 11.510181427001953, 3.265495538711548
1615, -0.7730191349983215, 17.0, 11.44479751586914, 3.175387144088745
1627, -0.7730191349983215, 12.0, 11.418501853942871, 3.175387144088745
1648, -0.7730191349983215, 21.0, 11.34508228302002, 3.175387144088745
