Step,Loss,Return right,Return left,Return right Std,Return left Std,Loss Std
71, -17.99951934814453, -167.03773498535156, 72, 0.0, 0.0, 0.0
151, -8.812265396118164, -141.0967559814453, 80, 12.970489501953125, 4.0, 9.18725299835205
399, -4.272482872009277, -437.6224365234375, 248, 134.0880584716797, 81.147328291749, 7.9254536628723145
595, -2.7609174251556396, -141.73728942871094, 196, 125.00125885009766, 75.33259586659682, 6.815052032470703
775, -2.010021686553955, -64.95416259765625, 180, 128.21873474121094, 68.51102101122125, 6.043614387512207
846, -1.7611356973648071, -228.4222412109375, 71, 117.89775085449219, 69.97241519976917, 5.7412943840026855
934, -1.5638980865478516, -230.25872802734375, 88, 109.77780151367188, 67.40041785130573, 5.478716850280762
996, -1.5638980865478516, -44.695533752441406, 62, 115.05271911621094, 67.34414878072185, 5.478716850280762
1100, -1.4009826183319092, -294.25201416015625, 104, 114.06715393066406, 63.82267099811268, 5.2490949630737305
1176, -1.2682114839553833, -105.08152770996094, 76, 111.48560333251953, 62.122540192751295, 5.0448808670043945
1248, -1.1576240062713623, -79.3626708984375, 72, 110.5911636352539, 60.67104092243324, 4.862080097198486
1310, -1.0623843669891357, -111.26304626464844, 62, 107.37791442871094, 59.809593712045896, 4.697784900665283
1479, -0.9807544350624084, -146.7236328125, 169, 103.35941314697266, 59.6281375937519, 4.548757076263428
1582, -0.909767746925354, -111.88543701171875, 103, 100.66696166992188, 57.526967943881125, 4.4128875732421875
1661, -0.8472342491149902, -112.61613464355469, 79, 98.11417388916016, 56.22241545860512, 4.288431167602539
1731, -0.7912775278091431, -84.94248962402344, 70, 96.7723388671875, 55.32573994082682, 4.17398738861084
1812, -0.7416164875030518, -128.7025146484375, 81, 94.10842895507812, 54.05546299482389, 4.068120002746582
1869, -0.7416164875030518, -94.38752746582031, 57, 92.49604034423828, 53.749303756616115, 4.068120002746582
1926, -0.69677734375, -111.43145751953125, 57, 90.47013092041016, 53.35315882669651, 3.9699273109436035
2060, -0.6563502550125122, -118.1080322265625, 134, 88.44083404541016, 52.48473587625263, 3.8784689903259277
2153, -0.61843341588974, -273.9814758300781, 93, 90.40023803710938, 51.26455326801071, 3.793278455734253
2238, -0.585642397403717, -350.2676696777344, 85, 97.34740447998047, 50.219456405390254, 3.7130863666534424
2323, -0.5532247424125671, -91.80758666992188, 85, 96.29824829101562, 49.23455684680935, 3.638230323791504
2454, -0.525414764881134, -61.53670883178711, 131, 96.28549194335938, 48.56823307357278, 3.5673253536224365
2543, -0.49954330921173096, -27.245277404785156, 89, 97.630859375, 47.658182928013524, 3.500441551208496
2606, -0.4752544164657593, -121.36758422851562, 63, 95.89733123779297, 47.32340264467278, 3.437239170074463
2702, -0.4509642422199249, -128.71034240722656, 96, 94.18470001220703, 46.44577350570458, 3.3776607513427734
2806, -0.43120425939559937, -113.28947448730469, 104, 92.71806335449219, 45.61455359860491, 3.320561170578003
2913, -0.4124200940132141, -148.92465209960938, 107, 91.1059799194336, 44.83811547429891, 3.2663159370422363
2976, -0.4124200940132141, -63.26271438598633, 63, 90.83604431152344, 44.594979787216204, 3.2663159370422363
3055, -0.39531752467155457, -53.43836975097656, 79, 90.7957992553711, 44.01522771213968, 3.214566946029663
3130, -0.3788430094718933, -73.09329223632812, 75, 90.15640258789062, 43.51588027303941, 3.1652698516845703
3255, -0.3634830415248871, -105.15245056152344, 125, 88.9740219116211, 43.10358676397118, 3.1181530952453613
3341, -0.34917986392974854, -108.62382507324219, 86, 87.79991912841797, 42.51887429460329, 3.073054313659668
3424, -0.33585795760154724, -323.903564453125, 83, 91.93950653076172, 41.984448043900976, 3.029831647872925
3497, -0.33585795760154724, -108.593017578125, 73, 90.82804107666016, 41.59827720791652, 3.029831647872925
3617, -0.31049737334251404, -155.85260009765625, 120, 89.6208724975586, 41.19901280313948, 2.948718547821045
3705, -0.29913485050201416, -185.93865966796875, 88, 88.70974731445312, 40.68346155775501, 2.9104816913604736
3813, -0.2885431945323944, -119.67539978027344, 108, 87.6453857421875, 40.19260008890493, 2.8736672401428223
3888, -0.2885431945323944, -131.00640869140625, 75, 86.56246185302734, 39.84625923471362, 2.8736672401428223
3963, -0.27851247787475586, -80.23357391357422, 75, 86.03823852539062, 39.506368134023504, 2.8382105827331543
4070, -0.2689758539199829, -155.28929138183594, 107, 85.03575897216797, 39.06489890593104, 2.8040332794189453
4188, -0.2582096755504608, -91.73157501220703, 118, 84.3729248046875, 38.738378637319734, 2.7713088989257812
4273, -0.24953864514827728, -112.18367004394531, 85, 83.51289367675781, 38.340336526414035, 2.739470958709717
4356, -0.24100136756896973, -133.00680541992188, 83, 82.58536529541016, 37.96916227612373, 2.708740472793579
4414, -0.23306024074554443, -87.28180694580078, 58, 82.03551483154297, 37.97853462980897, 2.6789917945861816
4476, -0.23306024074554443, -112.1676025390625, 62, 81.24539184570312, 37.890923005051484, 2.6789917945861816
4550, -0.22540731728076935, -86.10879516601562, 74, 80.731689453125, 37.61684920019219, 2.650209903717041
4657, -0.21827979385852814, -78.30172729492188, 107, 80.32813262939453, 37.27088274432793, 2.622309923171997
4736, -0.21129347383975983, -84.20299530029297, 79, 79.84366607666016, 36.96474536636226, 2.595292329788208
4882, -0.20469768345355988, -43.1419792175293, 146, 80.0634536743164, 37.28419900679943, 2.569079875946045
5024, -0.19227683544158936, -243.95298767089844, 142, 80.75050354003906, 37.466410005473236, 2.5189523696899414
5087, -0.19227683544158936, -71.3433837890625, 63, 80.44921875, 37.39236124190719, 2.5189523696899414
