Step,Loss,Return,Return Std,Loss Std
7, -17.473966598510742, 8.0, 0.0, 0.0
35, -17.473966598510742, 28.0, 10.0, 0.0
60, -17.473966598510742, 25.0, 8.806563377380371, 0.0
101, -8.71292495727539, 41.0, 11.757975578308105, 8.761041641235352
110, -8.71292495727539, 9.0, 12.416117668151855, 8.761041641235352
171, -8.71292495727539, 61.0, 18.3726863861084, 8.761041641235352
179, -8.71292495727539, 8.0, 18.483306884765625, 8.761041641235352
194, -8.71292495727539, 15.0, 17.6489200592041, 8.761041641235352
230, -6.177303314208984, 36.0, 17.035911560058594, 8.001832008361816
271, -6.177303314208984, 41.0, 16.803569793701172, 8.001832008361816
281, -6.177303314208984, 10.0, 16.767244338989258, 8.001832008361816
401, -3.6664700508117676, 120.0, 30.625425338745117, 6.919110298156738
554, -3.1814918518066406, 153.0, 43.356101989746094, 6.408673286437988
570, -3.1814918518066406, 16.0, 42.34075927734375, 6.408673286437988
770, -2.5483481884002686, 200.0, 57.01321792602539, 5.669123649597168
970, -2.021453380584717, 200.0, 65.88789367675781, 5.178961277008057
1170, -1.670951008796692, 200.0, 71.83550262451172, 4.7922468185424805
1246, -1.5367755889892578, 76.0, 69.83059692382812, 4.62764310836792
1284, -1.5367755889892578, 38.0, 68.32601165771484, 4.62764310836792
1312, -1.4435786008834839, 28.0, 67.15376281738281, 4.471951007843018
1336, -1.4435786008834839, 24.0, 66.13286590576172, 4.471951007843018
1350, -1.4435786008834839, 14.0, 65.43537139892578, 4.471951007843018
1367, -1.4435786008834839, 17.0, 64.63467407226562, 4.471951007843018
1395, -1.4435786008834839, 28.0, 63.58567810058594, 4.471951007843018
1413, -1.336971402168274, 18.0, 62.796234130859375, 4.338690757751465
1462, -1.336971402168274, 49.0, 61.593929290771484, 4.338690757751465
1482, -1.336971402168274, 20.0, 60.82940673828125, 4.338690757751465
1509, -1.2479041814804077, 27.0, 59.957679748535156, 4.215058326721191
1525, -1.2479041814804077, 16.0, 59.3199462890625, 4.215058326721191
1539, -1.2479041814804077, 14.0, 58.73348617553711, 4.215058326721191
1550, -1.2479041814804077, 11.0, 58.216217041015625, 4.215058326721191
