Step, Loss, Return
8, 2.692153215408325, 9.0
17, 2.692153215408325, 9.0
38, 2.692153215408325, 21.0
51, 2.692153215408325, 13.0
72, 2.692153215408325, 21.0
132, 0.5107719302177429, 60.0
155, 0.5107719302177429, 23.0
165, 0.5107719302177429, 10.0
178, 0.5107719302177429, 13.0
186, 0.5107719302177429, 8.0
196, 0.5107719302177429, 10.0
206, 0.5541515350341797, 10.0
218, 0.5541515350341797, 12.0
243, 0.5541515350341797, 25.0
253, 0.5541515350341797, 10.0
273, 0.5541515350341797, 20.0
306, 0.5754262208938599, 33.0
316, 0.5754262208938599, 10.0
330, 0.5754262208938599, 14.0
342, 0.5754262208938599, 12.0
356, 0.5754262208938599, 14.0
369, 0.5754262208938599, 13.0
422, 0.5771438479423523, 53.0
494, 0.5771438479423523, 72.0
574, 0.5153214335441589, 80.0
663, 0.4665456712245941, 89.0
675, 0.4665456712245941, 12.0
804, 0.4760080873966217, 129.0
1004, 0.4720422625541687, 200.0
1204, 0.47715142369270325, 200.0
1404, 0.16369342803955078, 200.0
1604, 0.19223129749298096, 200.0
1804, -0.2751857340335846, 200.0
2004, -0.2109217345714569, 200.0
2204, -0.16013602912425995, 200.0
2404, -0.10850071161985397, 200.0
2604, -0.06853280961513519, 200.0
2804, -0.03214402124285698, 200.0
3004, 0.0024247996043413877, 200.0
3204, -0.22553840279579163, 200.0
3271, -0.22553840279579163, 67.0
3426, -0.18246452510356903, 155.0
3620, -0.14440113306045532, 194.0
3820, -0.10953565686941147, 200.0
3996, -0.09330205619335175, 176.0
4160, -0.05887516215443611, 164.0
4360, -0.030419230461120605, 200.0
4560, -0.0024627563543617725, 200.0
4728, 0.02246299386024475, 168.0
4928, 0.04403027147054672, 200.0
5128, 0.06439134478569031, 200.0
5139, 0.06439134478569031, 11.0
5155, 0.06439134478569031, 16.0
5172, 0.06439134478569031, 17.0
5372, 0.08544263243675232, 200.0
5545, -0.06789971143007278, 173.0
5743, -0.04737941920757294, 198.0
